Data_Ground,GPM,Bulan_Tahun
139.39999999999998,194.96110000000004,2008-01
131.8,164.7175,2008-02
713.7,431.07630000000006,2008-03
231.4,296.3016,2008-04
115.79999999999998,104.00570000000002,2008-05
260.7,189.65150000000003,2008-06
245.4,338.2999,2008-07
173.2,199.2427,2008-08
216.1,135.48180000000002,2008-09
345.8,317.27790000000005,2008-10
449.0,317.26570000000004,2008-11
325.9,260.9042,2008-12
292.9,264.3037,2009-01
111.60000000000002,169.8222,2009-02
229.10000000000002,180.96699999999998,2009-03
479.90000000000003,209.2403,2009-04
209.0,229.8733,2009-05
25.000000000000004,141.85739999999996,2009-06
91.3,145.64280000000002,2009-07
6.300000000000001,55.44850000000001,2009-08
0.0,34.214600000000004,2009-09
233.70000000000002,103.114,2009-10
319.00000000000006,278.93519999999995,2009-11
103.7,105.1046,2009-12
174.6,142.57550000000003,2010-01
96.40000000000002,88.9894,2010-02
45.3,56.6791,2010-03
434.1,291.4613,2010-04
371.29999999999995,422.4758,2010-05
403.4,302.0091,2010-06
495.3,261.656,2010-07
322.1,276.80530000000005,2010-08
531.8,513.542,2010-09
370.40000000000003,286.4863,2010-10
238.49999999999997,183.98170000000002,2010-11
313.7,259.1248,2010-12
187.2,154.23879999999997,2011-01
358.49999999999994,340.9343,2011-02
321.7,345.54779999999994,2011-03
273.9,209.83529999999996,2011-04
205.80000000000004,163.8734,2011-05
107.19999999999999,232.4434,2011-06
56.3,80.9425,2011-07
7.8999999999999995,48.5978,2011-08
52.5,120.1738,2011-09
305.00000000000006,200.8957,2011-10
205.30000000000004,187.8059,2011-11
227.29999999999998,293.8988,2011-12
162.2,207.0596,2012-01
258.29999999999995,178.54859999999996,2012-02
274.3,155.41349999999997,2012-03
214.60000000000002,229.5974,2012-04
225.6,160.35979999999998,2012-05
73.4,222.139,2012-06
454.9,273.0019,2012-07
53.9,137.96699999999998,2012-08
86.3,83.431,2012-09
200.99999999999997,256.1771,2012-10
310.2,407.94989999999996,2012-11
335.5,298.5629,2012-12
90.6,177.30409999999998,2013-01
146.8,184.5599,2013-02
216.10000000000002,118.7461,2013-03
270.5,230.20549999999997,2013-04
431.4000000000001,282.4738999999999,2013-05
154.29999999999998,132.4715,2013-06
303.2,273.4046,2013-07
227.3,178.08609999999996,2013-08
37.5,85.70120000000001,2013-09
14.999999999999998,145.90540000000001,2013-10
220.7,142.87529999999998,2013-11
326.5,245.1208,2013-12
138.2,193.5217,2014-01
